True,LR,DT,SVR,LSTM,DNN,GRU
201.71559889099996,199.85644903397076,195.38715805600003,207.49452972,227.23923,227.98672,338.9786
191.75467083400002,192.03990370329365,212.452356942,204.20929360999997,216.35007,227.04187,333.15958
189.68364277799998,195.59852767680957,197.390705276,196.07027611,210.07245,228.81961,345.6246
190.40420583600002,191.65910381079516,200.14912416800001,198.81257138900003,197.95892,228.60187,338.3444
187.412814169,191.85321922270958,200.14912416800001,198.81257138900003,188.53284,229.06635,331.7624
182.18702472099997,190.9500650797399,204.23928250400002,214.61296638799996,190.95383,228.36948,322.69012
182.738263055,188.1972131353691,204.23928250400002,214.61296638799996,197.30408,229.05252,313.157
189.925976665,201.6481474676205,192.17840277800002,190.61404305599996,209.73792,239.63934,309.06918
220.79251833300003,213.49448393721525,222.11390222300003,222.11390222300003,223.57303,245.96155,308.50296
220.11665500100003,216.27239098324713,228.98175638600003,228.98175638600003,228.87009,249.91504,303.52072
171.87756472200002,176.2278445288288,204.23928250400002,204.23928250400002,215.03275,231.09814,282.64795
140.74156916700002,125.18857271643216,49.813319441999994,49.813319441999994,178.87915,206.75833,258.30316
136.17572528099996,77.16409182628212,119.892477775,119.892477775,120.148476,191.3104,233.72104
121.77654777599994,55.50235055258901,-7.77138805300001,-7.77138805300001,85.096504,185.89963,213.70465
152.66608889100002,40.48836005582788,24.89754805299998,24.89754805299998,80.42852,184.38727,184.8974
43.92489666800003,51.5851522226249,24.89754805299998,24.89754805299998,84.23359,185.9252,161.85764
25.522383335,71.13255585693472,-7.77138805300001,-7.77138805300001,95.71943,189.58994,150.02545
77.010685,112.74460383970253,58.01044472000001,58.01044472000001,128.97012,200.639,163.29596
129.37123472100004,160.17075335197273,122.428329725,94.23738305999998,176.83362,217.91956,196.38379
202.92297028000002,203.14061413052707,175.821718889,175.821718889,214.21463,243.77026,242.08383
256.3481224990001,221.44222873716842,220.721109168,220.721109168,231.72379,249.67752,261.3384
231.04001166900002,219.24164320205438,241.22070749699986,246.30025027699986,230.49283,247.32068,271.4702
216.07727722200002,220.09959137877115,245.52460194499992,246.30025027699986,227.08798,246.45776,273.80344
214.91603639199997,216.96013074849878,193.85596666700002,193.85596666700002,219.36859,259.9332,276.5309
197.56724389,199.6138361025997,189.32377611100003,175.821718889,207.04987,233.56812,281.7361
198.11422194100004,228.4026919258842,214.61296638799996,204.23928250400002,208.4303,237.37564,341.79346
197.44817527799995,226.0299332445726,214.61296638799996,204.23928250400002,205.2132,236.84406,333.03735
