date,tmpf,month,hour,dayofweek,kw2day,kw7day,poten_2,poten_7
2019-01-08 00:00:00,45.0,1,0,1,17226,13824,855.4736842105285,0.0
2019-01-08 01:00:00,44.8,1,1,1,16632,13824,525.78947368421,0.0
2019-01-08 02:00:00,44.6,1,2,1,16794,13878,733.2631578947367,0.0
2019-01-08 03:00:00,45.1,1,3,1,17064,13770,1020.3157894736833,0.0
2019-01-08 04:00:00,46.0,1,4,1,17226,14040,1017.4736842105284,0.0
2019-01-08 05:00:00,45.9,1,5,1,17820,13824,1389.78947368421,0.0
2019-01-08 06:00:00,44.6,1,6,1,18468,13932,1639.8947368421068,0.0
2019-01-08 07:00:00,43.0,1,7,1,18900,13446,1628.5263157894733,0.0
2019-01-08 08:00:00,41.9,1,8,1,18576,13554,1392.63157894737,0.0
2019-01-08 09:00:00,45.9,1,9,1,16740,14040,531.4736842105285,0.0
2019-01-08 10:00:00,50.5,1,10,1,15228,14094,0.0,0.0
2019-01-08 11:00:00,55.8,1,11,1,14148,14526,0.0,0.0
2019-01-08 12:00:00,62.2,1,12,1,14040,14850,0.0,537.1578947368416
2019-01-08 13:00:00,65.8,1,13,1,13554,14418,0.0,645.1578947368416
2019-01-08 14:00:00,67.8,1,14,1,13392,15066,0.0,1568.8421052631584
2019-01-08 15:00:00,67.1,1,15,1,13716,14850,0.0,940.7368421052632
2019-01-08 16:00:00,68.4,1,16,1,15066,14958,147.78947368420995,39.78947368420995
2019-01-08 17:00:00,64.6,1,17,1,15552,15390,0.0,0.0
2019-01-08 18:00:00,62.2,1,18,1,16092,15498,0.0,0.0
2019-01-08 19:00:00,59.4,1,19,1,16524,14958,0.0,0.0
2019-01-08 20:00:00,61.3,1,20,1,16794,14310,0.0,0.0
2019-01-08 21:00:00,60.4,1,21,1,16686,13824,0.0,0.0
2019-01-08 22:00:00,60.8,1,22,1,16308,12798,0.0,0.0
2019-01-08 23:00:00,59.0,1,23,1,16254,12744,0.0,0.0
2019-01-09 00:00:00,58.3,1,0,2,16740,13014,369.4736842105285,0.0
2019-01-09 01:00:00,57.2,1,1,2,17658,13770,1551.78947368421,0.0
2019-01-09 02:00:00,56.7,1,2,2,17550,13500,1489.2631578947369,0.0
2019-01-09 03:00:00,55.6,1,3,2,18306,14202,2262.315789473684,0.0
2019-01-09 04:00:00,54.1,1,4,2,18846,14904,2637.4736842105285,0.0
2019-01-09 05:00:00,53.6,1,5,2,20628,16200,4197.78947368421,0.0
2019-01-09 06:00:00,50.5,1,6,2,23112,17712,6283.894736842107,883.8947368421068
