DateTime,Month,Day,Weekday,Hour,Temperature,Load,Year
2015-11-01 00:00:00,11,1,0,0,28.0,199.856449,2015
2015-11-01 01:00:00,11,1,0,1,28.0,192.0399037,2015
2015-11-01 01:00:00,11,1,0,1,26.0,195.5985277,2015
2015-11-01 02:00:00,11,1,0,2,26.0,191.6591038,2015
2015-11-01 03:00:00,11,1,0,3,26.0,191.8532192,2015
2015-11-01 04:00:00,11,1,0,4,27.0,190.9500651,2015
2015-11-01 05:00:00,11,1,0,5,27.0,188.1972131,2015
2015-11-01 06:00:00,11,1,0,6,26.0,201.6481475,2015
2015-11-01 07:00:00,11,1,0,7,27.0,213.4944839,2015
2015-11-01 08:00:00,11,1,0,8,27.0,216.272391,2015
2015-11-01 09:00:00,11,1,0,9,25.0,176.2278445,2015
2015-11-01 10:00:00,11,1,0,10,24.0,125.1885727,2015
2015-11-01 11:00:00,11,1,0,11,23.0,77.16409183,2015
2015-11-01 12:00:00,11,1,0,12,21.0,55.50235055,2015
2015-11-01 13:00:00,11,1,0,13,17.0,40.48836006,2015
2015-11-01 14:00:00,11,1,0,14,18.0,51.58515222,2015
2015-11-01 15:00:00,11,1,0,15,19.0,71.13255586,2015
2015-11-01 16:00:00,11,1,0,16,20.0,112.7446038,2015
2015-11-01 17:00:00,11,1,0,17,21.0,160.1707534,2015
2015-11-01 18:00:00,11,1,0,18,24.0,203.1406141,2015
2015-11-01 19:00:00,11,1,0,19,26.0,221.4422287,2015
2015-11-01 20:00:00,11,1,0,20,26.0,219.2416432,2015
2015-11-01 21:00:00,11,1,0,21,25.0,220.0995914,2015
2015-11-01 22:00:00,11,1,0,22,23.0,216.9601307,2015
2015-11-01 23:00:00,11,1,0,23,25.0,199.6138361,2015
2015-11-02 00:00:00,11,2,1,0,21.0,228.4026919,2015
2015-11-02 01:00:00,11,2,1,1,22.0,226.0299332,2015
2015-11-02 02:00:00,11,2,1,2,22.0,225.4540329,2015
2015-11-02 03:00:00,11,2,1,3,22.0,224.7520499,2015
2015-11-02 04:00:00,11,2,1,4,23.0,221.7486431,2015
2015-11-02 05:00:00,11,2,1,5,23.0,223.16584,2015
2015-11-02 06:00:00,11,2,1,6,23.0,235.8208316,2015
2015-11-02 07:00:00,11,2,1,7,26.0,269.1110138,2015
2015-11-02 08:00:00,11,2,1,8,26.0,284.0792554,2015
2015-11-02 09:00:00,11,2,1,9,25.0,256.5588262,2015
2015-11-02 10:00:00,11,2,1,10,26.0,232.7759146,2015
2015-11-02 11:00:00,11,2,1,11,24.0,226.5282885,2015
2015-11-02 12:00:00,11,2,1,12,23.0,212.3970041,2015
2015-11-02 13:00:00,11,2,1,13,23.0,237.4396106,2015
2015-11-02 14:00:00,11,2,1,14,24.0,171.502288,2015
2015-11-02 15:00:00,11,2,1,15,23.0,151.1229621,2015
2015-11-02 16:00:00,11,2,1,16,23.0,173.8348935,2015
2015-11-02 17:00:00,11,2,1,17,25.0,207.5184177,2015
2015-11-02 18:00:00,11,2,1,18,25.0,252.6922433,2015
2015-11-02 19:00:00,11,2,1,19,30.0,282.9743897,2015
2015-11-02 20:00:00,11,2,1,20,29.0,269.564407,2015
2015-11-02 21:00:00,11,2,1,21,28.0,262.4197727,2015
2015-11-02 22:00:00,11,2,1,22,27.0,257.9636414,2015
2015-11-02 23:00:00,11,2,1,23,21.0,241.8907105,2015
2015-11-03 00:00:00,11,3,1,0,22.0,231.430732,2015
2015-11-03 01:00:00,11,3,1,1,17.0,233.8072415,2015
2015-11-03 02:00:00,11,3,1,2,17.0,229.3754372,2015
2015-11-03 03:00:00,11,3,1,3,19.0,227.5638617,2015
2015-11-03 04:00:00,11,3,1,4,19.0,231.8103989,2015
2015-11-03 05:00:00,11,3,1,5,19.0,233.3223094,2015
2015-11-03 06:00:00,11,3,1,6,17.0,253.6057004,2015
2015-11-03 07:00:00,11,3,1,7,18.0,293.7065863,2015
2015-11-03 08:00:00,11,3,1,8,18.0,345.1007444,2015
2015-11-03 09:00:00,11,3,1,9,16.0,327.7244676,2015
2015-11-03 10:00:00,11,3,1,10,15.0,287.7610963,2015
2015-11-03 11:00:00,11,3,1,11,12.0,260.1765556,2015
2015-11-03 12:00:00,11,3,1,12,9.0,234.0239819,2015
2015-11-03 13:00:00,11,3,1,13,8.0,246.2647155,2015
2015-11-03 14:00:00,11,3,1,14,9.0,262.1762848,2015
2015-11-03 15:00:00,11,3,1,15,10.0,268.5489324,2015
2015-11-03 16:00:00,11,3,1,16,13.0,254.7012176,2015
2015-11-03 17:00:00,11,3,1,17,15.0,257.478898,2015
2015-11-03 18:00:00,11,3,1,18,17.0,286.6370633,2015
2015-11-03 19:00:00,11,3,1,19,17.0,320.4853786,2015
2015-11-03 20:00:00,11,3,1,20,21.0,323.0599268,2015
2015-11-03 21:00:00,11,3,1,21,21.0,333.2820763,2015
2015-11-03 22:00:00,11,3,1,22,18.0,321.0848522,2015
2015-11-03 23:00:00,11,3,1,23,19.0,279.0219361,2015
2015-11-04 00:00:00,11,4,1,0,22.0,242.2135162,2015
2015-11-04 01:00:00,11,4,1,1,23.0,236.9116122,2015
2015-11-04 02:00:00,11,4,1,2,24.0,232.765766,2015
2015-11-04 03:00:00,11,4,1,3,25.0,231.7653617,2015
2015-11-04 04:00:00,11,4,1,4,25.0,234.6692171,2015
