ept,netload,tmp,month,hour,dayofweek,mw_2,mw_7,potential
2015-01-08 00:00:00,7549.63,-4.644,1,0,3,7192.18,5957.57,1821.2225
2015-01-08 01:00:00,7485.12,-4.709,1,1,3,7120.78,5957.57,1802.3425
2015-01-08 02:00:00,7378.78,-4.749,1,2,3,6992.29,5878.87,1813.7925000000005
2015-01-08 03:00:00,7443.1,-4.821,1,3,3,7062.87,5827.8,1926.7824999999996
2015-01-08 04:00:00,7879.07,-4.843,1,4,3,7480.1,5730.89,2401.317499999999
2015-01-08 05:00:00,8940.65,-4.603,1,5,3,8560.81,5668.53,3478.8099999999995
2015-01-08 06:00:00,9433.89,-4.334,1,6,3,9071.45,5600.76,3982.644999999999
2015-01-08 07:00:00,9544.09,-3.916,1,7,3,9131.64,5651.05,4075.8625
2015-01-08 08:00:00,9642.39,-3.068,1,8,3,9230.48,6114.63,3718.994999999999
2015-01-08 09:00:00,9644.49,-2.067,1,9,3,9226.03,6481.25,3335.2249999999995
2015-01-08 10:00:00,9594.81,-1.188,1,10,3,9195.01,6608.71,3114.414999999999
2015-01-08 11:00:00,9725.05,-0.577,1,11,3,9285.43,6694.39,3132.67
2015-01-08 12:00:00,9691.69,-0.317,1,12,3,9253.64,6754.3,3050.7425000000003
2015-01-08 13:00:00,9677.45,-0.322,1,13,3,9129.36,6864.21,2997.192500000001
2015-01-08 14:00:00,9754.97,-0.483,1,14,3,9228.01,6932.59,2979.6399999999985
2015-01-08 15:00:00,9720.19,-0.632,1,15,3,9393.65,7085.23,2794.4975000000013
2015-01-08 16:00:00,9810.86,-0.634,1,16,3,9673.13,7204.97,2854.0700000000006
2015-01-08 17:00:00,9578.28,-0.495,1,17,3,9518.67,7164.21,2650.92
2015-01-08 18:00:00,9481.77,-0.311,1,18,3,9490.4,7008.47,2601.3200000000006
2015-01-08 19:00:00,9118.65,-0.104,1,19,3,9101.17,6931.78,2329.9700000000003
2015-01-08 20:00:00,8534.12,0.068,1,20,3,8551.71,6586.66,2079.5975000000008
2015-01-08 21:00:00,8028.34,0.182,1,21,3,8049.0,6369.96,1731.1350000000002
