ept,netload,tmpf,month,hour,dayofweek,mw2day,mw7day,potential
2019-01-10 15:00:00,56532.406,26.1,1,15,3,45658.582,49273.028,9944.92807407408
2019-01-10 16:00:00,56870.973,26.1,1,16,3,46354.06,49620.076,9782.069037037036
2019-01-10 17:00:00,58848.708,26.1,1,17,3,48633.264,52467.144,9799.379222222213
2019-01-10 18:00:00,60105.072,26.1,1,18,3,50327.942,54157.938,9965.603592592595
2019-01-10 19:00:00,59527.136,26.1,1,19,3,50134.155,53984.959,9748.28677777778
2019-01-10 20:00:00,58902.042,26.1,1,20,3,49622.18,53463.475,9780.591814814828
2019-01-10 21:00:00,57310.829,26.1,1,21,3,48553.595,52164.287,9396.160074074076
2019-01-10 22:00:00,54902.731,27.0,1,22,3,46643.614,49949.741,8782.568962962963
2019-01-10 23:00:00,52401.38,27.0,1,23,3,44603.54,47621.386,8282.544370370371
2019-01-11 00:00:00,50661.126,27.0,1,0,4,43054.198,45792.867,8488.056222222222
2019-01-11 01:00:00,49796.553,26.1,1,1,4,42196.355,44761.924,8662.477185185176
2019-01-11 02:00:00,49186.75,26.1,1,2,4,42125.592,44213.55,8607.818148148152
2019-01-11 03:00:00,49142.278,26.1,1,3,4,42406.578,44130.857,8730.118555555557
2019-01-11 04:00:00,49870.155,26.1,1,4,4,43382.473,44723.682,9006.642666666674
2019-01-11 05:00:00,51964.563,26.1,1,5,4,45977.163,46516.669,9714.792851851853
2019-01-11 06:00:00,55478.057,26.1,1,6,4,50135.036,49944.623,10855.205555555556
2019-01-11 07:00:00,58439.178,26.1,1,7,4,53480.658,52461.943,11598.662814814816
2019-01-11 08:00:00,58541.287,26.1,1,8,4,54230.367,53057.287,10846.049111111111
2019-01-11 09:00:00,57728.639,26.1,1,9,4,54412.773,52772.108,9621.509000000013
2019-01-11 10:00:00,56967.18,27.0,1,10,4,54760.741,52275.491,8647.266407407413
2019-01-11 11:00:00,56073.111,28.0,1,11,4,54736.081,51307.194,7927.404740740741
2019-01-11 12:00:00,54917.514,28.0,1,12,4,54863.54,50440.03,7079.75951851852
2019-01-11 13:00:00,53815.356,28.9,1,13,4,55049.495,49424.508,6463.31044444444
2019-01-11 14:00:00,52682.272,30.0,1,14,4,54848.279,48624.059,5830.713444444431
2019-01-11 15:00:00,52241.065,30.0,1,15,4,54936.344,47953.371,5653.587074074079
2019-01-11 16:00:00,52769.484,30.0,1,16,4,55702.995,48089.633,5680.580037037034
2019-01-11 17:00:00,54922.509,28.9,1,17,4,57720.729,49975.664,5873.18022222221
