date,month,hour,dayofweek,netload,tmpc,mw2day,mw7day,potential
2017-01-01 00:00:00,1,0,6,9772,-3.383,9539.0,8138.0,1429.0
2017-01-01 01:00:00,1,1,6,9354,-3.764,9158.0,7597.0,1421.0
2017-01-01 02:00:00,1,2,6,8980,-4.12,8958.0,7291.0,1333.0
2017-01-01 03:00:00,1,3,6,8676,-4.426,8818.0,7150.0,1180.5
2017-01-01 04:00:00,1,4,6,8531,-4.569,9018.0,7186.0,1035.5
2017-01-01 05:00:00,1,5,6,8533,-4.635,9522.0,7231.0,944.5
2017-01-01 06:00:00,1,6,6,8390,-4.664,9937.0,7232.0,905.5
2017-01-01 07:00:00,1,7,6,8501,-4.607,10541.0,7571.0,982.0
2017-01-01 08:00:00,1,8,6,8761,-4.168,10737.0,8004.0,1081.5
2017-01-01 09:00:00,1,9,6,9128,-3.329,10694.0,8456.0,1142.0
2017-01-01 10:00:00,1,10,6,9464,-2.396,10743.0,8749.0,1051.0
2017-01-01 11:00:00,1,11,6,9734,-1.645,10638.0,8903.0,1064.5
2017-01-01 12:00:00,1,12,6,9719,-1.15,10450.0,8837.0,811.5
2017-01-01 13:00:00,1,13,6,9535,-0.928,10290.0,8626.0,752.5
2017-01-01 14:00:00,1,14,6,9478,-1.027,10372.0,8514.0,664.0
2017-01-01 15:00:00,1,15,6,9527,-1.311,10615.0,8541.0,737.5
2017-01-01 16:00:00,1,16,6,10039,-1.473,11424.0,8913.0,814.5
2017-01-01 17:00:00,1,17,6,10244,-1.509,11480.0,9034.0,953.5
2017-01-01 18:00:00,1,18,6,10194,-1.5,11121.0,8971.0,1117.0
2017-01-01 19:00:00,1,19,6,9975,-1.43,10578.0,8690.0,1067.0
2017-01-01 20:00:00,1,20,6,9736,-1.317,10054.0,8428.0,997.0
2017-01-01 21:00:00,1,21,6,9968,-1.122,10327.0,8676.0,946.5
2017-01-01 22:00:00,1,22,6,10014,-0.914,10481.0,8695.0,905.5
2017-01-01 23:00:00,1,23,6,9551,-0.717,9942.0,8125.0,947.0
2017-01-02 00:00:00,1,0,0,9160,-0.584,9490.0,7687.0,817.0
2017-01-02 01:00:00,1,1,0,8829,-0.413,9005.0,7317.0,896.0
2017-01-02 02:00:00,1,2,0,8597,-0.262,8692.0,7157.0,950.0
2017-01-02 03:00:00,1,3,0,8546,-0.122,8543.0,7162.0,1050.5
2017-01-02 04:00:00,1,4,0,8780,-0.065,8602.0,7472.0,1284.5
2017-01-02 05:00:00,1,5,0,9363,-0.052,8849.0,8003.0,1774.5
2017-01-02 06:00:00,1,6,0,9698,-0.258,9023.0,8304.0,2213.5
2017-01-02 07:00:00,1,7,0,10272,-0.396,9610.0,8958.0,2753.0
2017-01-02 08:00:00,1,8,0,10702,0.113,10142.0,9485.0,3022.5
2017-01-02 09:00:00,1,9,0,10954,1.658,10540.0,9905.0,2968.0
2017-01-02 10:00:00,1,10,0,11200,2.751,10667.0,10116.0,2787.0
2017-01-02 11:00:00,1,11,0,11266,3.502,10677.0,9875.0,2596.5
2017-01-02 12:00:00,1,12,0,11056,3.853,10600.0,9542.0,2148.5
2017-01-02 13:00:00,1,13,0,10830,3.402,10471.0,9410.0,2047.5
2017-01-02 14:00:00,1,14,0,10848,1.924,10526.0,9588.0,2034.0
2017-01-02 15:00:00,1,15,0,11056,0.284,10672.0,9717.0,2266.5
2017-01-02 16:00:00,1,16,0,11823,-0.132,11229.0,10570.0,2598.5
2017-01-02 17:00:00,1,17,0,11931,-0.172,11107.0,10651.0,2640.5
2017-01-02 18:00:00,1,18,0,11587,-0.166,10623.0,10242.0,2510.0
2017-01-02 19:00:00,1,19,0,10979,-0.21,10209.0,9759.0,2071.0
2017-01-02 20:00:00,1,20,0,10552,-0.278,9937.0,9253.0,1813.0
2017-01-02 21:00:00,1,21,0,10808,-0.368,10185.0,9496.0,1786.5
2017-01-02 22:00:00,1,22,0,10813,-0.51,10393.0,9475.0,1704.5
2017-01-02 23:00:00,1,23,0,10270,-0.674,10109.0,8799.0,1666.0
2017-01-03 00:00:00,1,0,1,9777,-0.71,9772.0,8322.0,1434.0
2017-01-03 01:00:00,1,1,1,9414,-0.605,9354.0,7970.0,1481.0
2017-01-03 02:00:00,1,2,1,9189,-0.519,8980.0,7799.0,1542.0
2017-01-03 03:00:00,1,3,1,9128,-0.522,8676.0,7813.0,1632.5
2017-01-03 04:00:00,1,4,1,9465,-0.651,8531.0,8082.0,1969.5
