date,netload,tmpf,month,hour,dayofweek,kw_2,kw_7,potential
2015-01-08 00:00:00,107.261982774,30.02,1,0,3,90.617098886,93.681293335,25.293870997000013
2015-01-08 01:00:00,101.411796388,28.94,1,1,3,89.416004998,90.814562496,21.468527472000005
2015-01-08 02:00:00,99.237802223,28.04,1,2,3,84.882851944,101.849884445,17.072889445100003
2015-01-08 03:00:00,95.568927778,26.06,1,3,3,75.618245001,89.423969718,19.147966999500014
2015-01-08 04:00:00,101.295963056,24.98,1,4,3,76.400380278,78.618081114,29.964271416800017
2015-01-08 05:00:00,100.333932779,24.08,1,5,3,75.158715275,90.528864442,30.8861733894
2015-01-08 06:00:00,106.341721943,21.92,1,6,3,86.466333331,94.331746664,23.134061664200004
2015-01-08 07:00:00,120.747525279,21.92,1,7,3,98.519487779,108.92114389,27.311542416799995
2015-01-08 08:00:00,159.268691388,23.0,1,8,3,130.272555557,121.140643057,58.6715756377
2015-01-08 09:00:00,155.201023334,26.06,1,9,3,112.229032221,104.762945,71.3413287507
2015-01-08 10:00:00,132.330928335,26.06,1,10,3,100.412244165,100.766349997,58.73862991870001
2015-01-08 11:00:00,109.511823609,26.96,1,11,3,83.363948334,83.625524165,60.427710887600014
2015-01-08 12:00:00,92.671081388,28.04,1,12,3,53.567828331,73.330624169,63.943186721
2015-01-08 13:00:00,77.955495833,28.94,1,13,3,24.601752776,53.25437861,65.0334817493
2015-01-08 14:00:00,72.809530834,32.0,1,14,3,15.100393333,56.604586111,65.5619758333
2015-01-08 15:00:00,61.148293614,33.08,1,15,3,20.045137223,48.095406669,52.331434559
2015-01-08 16:00:00,77.070280834,33.98,1,16,3,46.69020417,65.238964721,48.9292910285
2015-01-08 17:00:00,86.785739721,33.98,1,17,3,61.532430278,79.46568667,37.4851983313
2015-01-08 18:00:00,88.306478887,35.06,1,18,3,80.676448611,97.252048611,25.004854026600007
2015-01-08 19:00:00,94.102342223,35.06,1,19,3,95.292081386,98.791079723,18.601594222999992
2015-01-08 20:00:00,106.120131116,35.06,1,20,3,115.875687776,97.805615,20.578256171099994
