date,netload,tmpf,month,hour,dayofweek,mw2day,mw7day,potential,poten_2,poten_7
2019-01-08 00:00:00,29074.686,34.0,1,0,1,26316.103,25457.52,3527.295764705883,768.7127647058805,0.0
2019-01-08 01:00:00,28274.848,34.0,1,1,1,25398.397,24341.429,3523.215764705881,646.7647647058802,0.0
2019-01-08 02:00:00,27875.257,34.0,1,2,1,24945.985,23409.071,3519.7519411764697,590.4799411764689,0.0
2019-01-08 03:00:00,27739.332,33.1,1,3,1,24790.966,22785.869,3509.9125294117584,561.5465294117603,0.0
2019-01-08 04:00:00,28347.379,35.1,1,4,1,24916.312,22584.079,3738.744823529414,307.67782352941504,0.0
2019-01-08 05:00:00,30266.113,36.0,1,5,1,25463.396,22864.42,4484.058823529416,0.0,0.0
2019-01-08 06:00:00,33351.062,36.0,1,6,1,26312.605,23395.256,5691.675294117638,0.0,0.0
2019-01-08 07:00:00,35094.843,37.0,1,7,1,27265.662,23677.857,6138.46894117647,0.0,0.0
2019-01-08 08:00:00,34960.958,37.0,1,8,1,28017.342,24214.04,5501.427411764707,0.0,0.0
2019-01-08 09:00:00,34583.547,37.9,1,9,1,28532.585,25200.511,4879.828588235294,0.0,0.0
2019-01-08 10:00:00,34345.454,39.0,1,10,1,28571.068,26137.757,4570.966588235293,0.0,0.0
2019-01-08 11:00:00,33955.925,39.0,1,11,1,27964.27,26651.298,4302.616882352944,0.0,0.0
2019-01-08 12:00:00,33351.189,39.9,1,12,1,27452.456,26459.484,3927.439882352937,0.0,0.0
2019-01-08 13:00:00,32885.451,42.1,1,13,1,27237.863,26251.365,3587.657705882357,0.0,0.0
2019-01-08 14:00:00,32324.208,43.0,1,14,1,27368.635,26473.052,3083.5164117647078,0.0,0.0
2019-01-08 15:00:00,32279.778,46.0,1,15,1,27986.963,27038.929,2749.838235294119,0.0,0.0
2019-01-08 16:00:00,33329.228,46.0,1,16,1,29638.411,28685.602,2596.1921176470605,0.0,0.0
2019-01-08 17:00:00,35313.093,44.1,1,17,1,32348.137,31094.933,2607.090411764708,0.0,0.0
2019-01-08 18:00:00,35371.561,43.0,1,18,1,33049.138,31226.814,2456.3051176470617,133.8821176470592,0.0
2019-01-08 19:00:00,34865.87,41.0,1,19,1,32798.274,30971.602,2330.485588235293,262.8895882352881,0.0
2019-01-08 20:00:00,33994.287,42.1,1,20,1,32625.448,30354.775,2072.308647058813,703.4696470588169,0.0
2019-01-08 21:00:00,32348.852,41.0,1,21,1,31621.982,29238.396,1590.695882352942,863.8258823529432,0.0
2019-01-08 22:00:00,30158.709,42.1,1,22,1,30043.866,27565.612,1064.15647058823,949.313470588233,0.0
2019-01-08 23:00:00,28000.92,44.1,1,23,1,28590.459,25972.328,486.03652941175824,1075.575529411759,0.0
2019-01-09 00:00:00,26618.478,45.0,1,0,2,27544.941,24899.414,1071.0877647058803,1997.5507647058805,0.0
2019-01-09 01:00:00,25898.73,44.1,1,1,2,27111.195,24356.37,1147.097764705879,2359.562764705879,0.0
2019-01-09 02:00:00,25637.622,45.0,1,2,2,27168.998,24217.627,1282.1169411764677,2813.492941176468,0.0
2019-01-09 03:00:00,25838.972,45.0,1,3,2,27590.271,24542.726,1609.5525294117615,3360.851529411761,313.3065294117587
2019-01-09 04:00:00,26696.575,44.1,1,4,2,28703.062,25467.844,2087.940823529414,4094.427823529415,859.2098235294143
2019-01-09 05:00:00,28905.583,44.1,1,5,2,31114.644,27755.815,3123.528823529414,5332.589823529415,1973.7608235294135
2019-01-09 06:00:00,32402.17,43.0,1,6,2,34667.82,31082.91,4742.783294117638,7008.43329411764,3423.52329411764
2019-01-09 07:00:00,34047.554,42.1,1,7,2,36438.65,33036.057,5091.179941176466,7482.275941176471,4079.68294117647
2019-01-09 08:00:00,33676.279,42.1,1,8,2,36236.238,33111.222,4216.748411764711,6776.707411764706,3651.69141176471
2019-01-09 09:00:00,33001.99,44.1,1,9,2,35668.499,32950.247,3298.271588235293,5964.780588235299,3246.5285882352982
2019-01-09 10:00:00,32401.447,46.0,1,10,2,35349.368,32854.499,2626.959588235295,5574.880588235297,3080.0115882352984
2019-01-09 11:00:00,32330.278,45.0,1,11,2,34904.738,32588.103,2676.96988235294,5251.429882352939,2934.7948823529405
2019-01-09 12:00:00,32373.335,46.0,1,12,2,34725.302,32327.43,2949.585882352938,5301.552882352942,2903.680882352939
