ept,tmpf,month,hour,dayofweek,mw2day,mw7day
2019-01-01 00:00:00,57.9,1,0,1,,
2019-01-01 01:00:00,54.0,1,1,1,,
2019-01-01 02:00:00,50.0,1,2,1,,
2019-01-01 03:00:00,48.9,1,3,1,,
2019-01-01 04:00:00,46.0,1,4,1,,
2019-01-01 05:00:00,43.0,1,5,1,,
2019-01-01 06:00:00,43.0,1,6,1,,
2019-01-01 07:00:00,42.1,1,7,1,,
2019-01-01 08:00:00,41.0,1,8,1,,
2019-01-01 09:00:00,39.9,1,9,1,,
2019-01-01 10:00:00,39.9,1,10,1,,
2019-01-01 11:00:00,41.0,1,11,1,,
2019-01-01 12:00:00,42.1,1,12,1,,
2019-01-01 13:00:00,42.1,1,13,1,,
2019-01-01 14:00:00,41.0,1,14,1,,
2019-01-01 15:00:00,41.0,1,15,1,,
2019-01-01 16:00:00,41.0,1,16,1,,
2019-01-01 17:00:00,41.0,1,17,1,,
2019-01-01 18:00:00,39.9,1,18,1,,
2019-01-01 19:00:00,39.9,1,19,1,,
2019-01-01 20:00:00,39.9,1,20,1,,
2019-01-01 21:00:00,39.9,1,21,1,,
2019-01-01 22:00:00,39.9,1,22,1,,
2019-01-01 23:00:00,39.0,1,23,1,,
2019-01-02 00:00:00,39.0,1,0,2,,
2019-01-02 01:00:00,39.0,1,1,2,,
2019-01-02 02:00:00,37.9,1,2,2,,
2019-01-02 03:00:00,37.9,1,3,2,,
2019-01-02 04:00:00,37.9,1,4,2,,
2019-01-02 05:00:00,37.9,1,5,2,,
2019-01-02 06:00:00,37.9,1,6,2,,
2019-01-02 07:00:00,37.9,1,7,2,,
2019-01-02 08:00:00,37.9,1,8,2,,
2019-01-02 09:00:00,37.9,1,9,2,,
2019-01-02 10:00:00,39.0,1,10,2,,
2019-01-02 11:00:00,39.9,1,11,2,,
2019-01-02 12:00:00,39.9,1,12,2,,
2019-01-02 13:00:00,39.9,1,13,2,,
2019-01-02 14:00:00,41.0,1,14,2,,
2019-01-02 15:00:00,42.1,1,15,2,,
2019-01-02 16:00:00,42.1,1,16,2,,
2019-01-02 17:00:00,42.1,1,17,2,,
2019-01-02 18:00:00,42.1,1,18,2,,
2019-01-02 19:00:00,42.1,1,19,2,,
2019-01-02 20:00:00,42.1,1,20,2,,
2019-01-02 21:00:00,42.1,1,21,2,,
2019-01-02 22:00:00,41.0,1,22,2,,
2019-01-02 23:00:00,39.0,1,23,2,,
2019-01-03 00:00:00,37.9,1,0,3,37595.379,
2019-01-03 01:00:00,36.0,1,1,3,36246.587,
2019-01-03 02:00:00,35.1,1,2,3,35429.872,
2019-01-03 03:00:00,35.1,1,3,3,35011.561,
2019-01-03 04:00:00,34.0,1,4,3,35128.803,
2019-01-03 05:00:00,34.0,1,5,3,35794.553,
2019-01-03 06:00:00,34.0,1,6,3,36643.064,
2019-01-03 07:00:00,34.0,1,7,3,37902.84,
2019-01-03 08:00:00,34.0,1,8,3,38654.614,
2019-01-03 09:00:00,34.0,1,9,3,39803.744,
2019-01-03 10:00:00,34.0,1,10,3,41145.456,
2019-01-03 11:00:00,34.0,1,11,3,42216.627,
2019-01-03 12:00:00,35.1,1,12,3,42861.6,
2019-01-03 13:00:00,36.0,1,13,3,42930.324,
2019-01-03 14:00:00,37.9,1,14,3,43156.846,
2019-01-03 15:00:00,39.0,1,15,3,43427.543,
2019-01-03 16:00:00,37.9,1,16,3,44272.221,
2019-01-03 17:00:00,37.0,1,17,3,46270.223,
2019-01-03 18:00:00,35.1,1,18,3,46891.033,
2019-01-03 19:00:00,34.0,1,19,3,46571.415,
2019-01-03 20:00:00,34.0,1,20,3,46003.906,
2019-01-03 21:00:00,34.0,1,21,3,45067.898,
2019-01-03 22:00:00,30.9,1,22,3,43484.002,
2019-01-03 23:00:00,30.9,1,23,3,41529.086,
2019-01-04 00:00:00,30.9,1,0,4,40295.685,
2019-01-04 01:00:00,32.0,1,1,4,39584.985,
2019-01-04 02:00:00,30.9,1,2,4,39220.115,
2019-01-04 03:00:00,32.0,1,3,4,39242.388,
2019-01-04 04:00:00,30.9,1,4,4,40122.308,
2019-01-04 05:00:00,30.9,1,5,4,42198.194,
2019-01-04 06:00:00,30.9,1,6,4,45634.544,
2019-01-04 07:00:00,32.0,1,7,4,48793.616,
2019-01-04 08:00:00,32.0,1,8,4,50174.182,
2019-01-04 09:00:00,32.0,1,9,4,50688.858,
2019-01-04 10:00:00,33.1,1,10,4,51367.069,
2019-01-04 11:00:00,37.0,1,11,4,51605.991,
2019-01-04 12:00:00,42.1,1,12,4,51494.73,
2019-01-04 13:00:00,45.0,1,13,4,51562.835,
